Verb Conjugation A1 Italian (Drill)
я устал (essere stanco);Io sono stanco.
они надеются, что мы ведем машину (guidare l'auto);Loro sperano che noi guidiamo l'auto.
я верю, что вы ведете машину (guidare l'auto);Io credo che voi guidiate l'auto.
он думает, что они ведут машину (guidare l'auto);Lui pensa che loro guidino l'auto.
она хотела, чтобы я вел машину (guidare l'auto);Lei voleva che io guidassi l'auto.
он хотел, чтобы ты вел машину (guidare l'auto);Lui voleva che tu guidassi l'auto.
я думал, что он ведет машину (guidare l'auto);Io pensavo che lui guidasse l'auto.
мы надеялись, что она ведет машину (guidare l'auto);Noi speravamo che lei guidasse l'auto.
они верили, что мы ведем машину (guidare l'auto);Loro credevano che noi guidassimo l'auto.
я боялся, что вы ведете машину (guidare l'auto);Io temevo che voi guidaste l'auto.
он хотел, чтобы они вели машину (guidare l'auto);Lui voleva che loro guidassero l'auto.
он думает, что я уже вел машину (guidare l'auto);Lui pensa che io abbia guidato l'auto.
она надеется, что ты уже вел машину (guidare l'auto);Lei spera che tu abbia guidato l'auto.
я верю, что он уже вел машину (guidare l'auto);Io credo che lui abbia guidato l'auto.
мы сомневаемся, что она уже вела машину (guidare l'auto);Noi dubitiamo che lei abbia guidato l'auto.
ты думаешь, что мы уже вели машину (guidare l'auto);Tu pensi che noi abbiamo guidato l'auto.
я полагаю, что вы уже вели машину (guidare l'auto);Io suppongo che voi abbiate guidato l'auto.
он верит, что они уже вели машину (guidare l'auto);Lui crede che loro abbiano guidato l'auto.
я быстро двигаюсь (muoversi velocemente);Io mi muovo velocemente.
ты быстро двигаешься (muoversi velocemente);Tu ti muovi velocemente.
он быстро двигается (muoversi velocemente);Lui si muove velocemente.
она быстро двигается (muoversi velocemente);Lei si muove velocemente.
мы быстро двигаемся (muoversi velocemente);Noi ci muoviamo velocemente.
вы быстро двигаетесь (muoversi velocemente);Voi vi muovete velocemente.
они быстро двигаются (muoversi velocemente);Loro si muovono velocemente.
я двигался быстро (muoversi velocemente);Io mi muovevo velocemente.
ты двигался быстро (muoversi velocemente);Tu ti muovevi velocemente.
он двигался быстро (muoversi velocemente);Lui si muoveva velocemente.
она двигалась быстро (muoversi velocemente);Lei si muoveva velocemente.
мы двигались быстро (muoversi velocemente);Noi ci muovevamo velocemente.
вы двигались быстро (muoversi velocemente);Voi vi muovevate velocemente.
они двигались быстро (muoversi velocemente);Loro si muovevano velocemente.
я быстро (velocemente) шевельнулся (muoversi);Io mi mossi velocemente.
ты быстро (velocemente) шевельнулся (muoversi);Tu ti mossi velocemente.
он быстро (velocemente) шевельнулся (muoversi);Lui si mosse velocemente.
она быстро (velocemente) шевельнулась (muoversi);Lei si mosse velocemente.
мы быстро (velocemente) шевельнулись (muoversi);Noi ci mossimo velocemente.
вы быстро (velocemente) шевельнулись (muoversi);Voi vi mosseste velocemente.
они быстро (velocemente) шевельнулись (muoversi);Loro si mossero velocemente.
я быстро (velocemente) пошевелился (muoversi);Io mi sono mosso velocemente.
ты быстро (velocemente) пошевелился (muoversi);Tu ti sei mosso velocemente.
он быстро (velocemente) пошевелился (muoversi);Lui si è mosso velocemente.
она быстро (velocemente) пошевелилась (muoversi);Lei si è mossa velocemente.
мы быстро (velocemente) пошевелились (muoversi);Noi ci siamo mossi velocemente.
вы быстро (velocemente) пошевелились (muoversi);Voi vi siete mossi velocemente.
они быстро (velocemente) пошевелились (muoversi);Loro si sono mossi velocemente.
я уже быстро двигался (muoversi velocemente);Io mi ero mosso velocemente.
ты уже быстро двигался (muoversi velocemente);Tu ti eri mosso velocemente.
он уже быстро двигался (muoversi velocemente);Lui si era mosso velocemente.
она уже быстро двигалась (muoversi velocemente);Lei si era mossa velocemente.
мы уже быстро двигались (muoversi velocemente);Noi ci eravamo mossi velocemente.
вы уже быстро двигались (muoversi velocemente);Voi vi eravate mossi velocemente.
они уже быстро двигались (muoversi velocemente);Loro si erano mossi velocemente.
я буду двигаться быстро (muoversi velocemente);Io mi muoverò velocemente.
ты будешь двигаться быстро (muoversi velocemente);Tu ti muoverai velocemente.
он будет двигаться быстро (muoversi velocemente);Lui si muoverà velocemente.
она будет двигаться быстро (muoversi velocemente);Lei si muoverà velocemente.
мы будем двигаться быстро (muoversi velocemente);Noi ci muoveremo velocemente.
вы будете двигаться быстро (muoversi velocemente);Voi vi muoverete velocemente.
они будут двигаться быстро (muoversi velocemente);Loro si muoveranno velocemente.
я успею быстро (muoversi velocemente) пошевелиться;Io mi sarò mosso velocemente.
ты успеешь быстро (muoversi velocemente) пошевелиться;Tu ti sarai mosso velocemente.
он успеет быстро (muoversi velocemente) пошевелиться;Lui si sarà mosso velocemente.
она успеет быстро (muoversi velocemente) пошевелиться;Lei si sarà mossa velocemente.
мы успеем быстро (muoversi velocemente) пошевелиться;Noi ci saremo mossi velocemente.
вы успеете быстро (muoversi velocemente) пошевелиться;Voi vi sarete mossi velocemente.
